Again?,Rating,Summary,Tag,Title,URL,Ingredients,Directions,Tags
100%,4.0,"The zest of two whole lemons goes into this cake batter, giving it a real punch of citrus flavor, accented by the drippy lemon glaze that gets drizzled overtop.",recipe,East 62nd Street Lemon Cake,/recipes/food/views/east-62nd-street-lemon-cake,Cake:3 cups sifted unbleached all-purpose flour2 teaspoons baking powder1/2 teaspoon salt8 ounces (2 sticks) unsalted butter2 cups sugar4 large eggs1 cup milkFinely grated zest of 2 large lemonsGlaze:1/3 cup lemon juice2/3 cup sugar,"For the cake:                                        Adjust an oven rack one-third up from the bottom of oven. Preheat the oven to 350°F. Butter a plain or fancy tube pan with an 11- to 12-cup capacity and dust it lightly with fine, dry bread crumbs.
                                                                            Sift together flour, baking powder, and salt and set aside. In large bowl of electric mixer, beat the butter to soften it a bit. Add the sugar and beat for 2 to 3 minutes. Beat in the eggs individually,  scraping the bowl as necessary with a rubber spatula to keep mixture smooth. On lowest speed, alternately add the dry ingredients in three additions and the milk in two additions, scraping the bowl with the rubber spatula as necessary and beating only until incorporated after each addition. Remove the bowl from the mixer. Stir in lemon zest. Turn the batter into prepared pan. Level top by rotating pan briskly back and forth.
                                                                            Bake for 1 hour and 5 to 10 minutes, until a cake tester comes out dry.
                                                                            Let cake stand in the pan for about 5 minutes and then cover with a rack and invert. Place over a large piece of aluminum foil or wax paper.
                                    For the glaze:                                        The glaze should be used immediately after it is mixed: Stir the lemon juice and sugar together and brush all over the hot cake until absorbed.
                                                                            Let cake cool completely. Use two wide metal pancake turners or a cookie sheet to transfer it to a cake plate. Do not cut for at least several hours.
                                    Variations:                                        I have made this with 1/2 cup Key lime juice in the glaze in place of the 1/3 cup lemon juice and it is divine. (But you should continue to use the lemon zest in the cake itself.)",Mother's DaySpringCakeBakeLemonSoy FreePeanut FreeTree Nut FreeVegetarian
0%,0.0,Bright citrus and fresh-ground pepper put a festive spin on two party staples: cured meat and Marcona almonds.,recipe,Lemon-Pepper Salami Bites,/recipes/food/views/lemon-pepper-salami-bites,2 lb. thinly sliced salamiHandfuls of Marcona almonds1 lemonFreshly ground black pepperExtra-virgin olive oil (for drizzling),Layer salami with some almonds in a shallow bowl. Finely grate lemon zest over; save fruit for another use. Top with a few grinds of pepper and drizzle generously with oil.,Bon AppétitAppetizerHors D'OeuvrePorkMeatAlmondLemonDairy FreePeanut FreeSoy FreeWheat/Gluten-FreeTree Nut FreeCocktail PartyNew Year's EveHoliday 2018
85%,3.0,Fresh herbs infuse this buttery lemon cake with floral flavor that beautifully complements swirls of sweet strawberry jam.,recipe,Herb-Infused Lemon-Strawberry Loaf,/recipes/food/views/herb-infused-lemon-strawberry-loaf,"3/4 cup (1 1/2 sticks) unsalted butter, plus more for pan10 large fresh bay leaves, 10 sprigs thyme, or 6 sprigs rosemary3/4 cup plus 1 Tbsp. whole milk1 Tbsp. plus 1 tsp. finely grated lemon zest1/4 cup fresh lemon juice2 cups all-purpose flour2 tsp. baking powder3/4 tsp. kosher salt2 large eggs, room temperature3/4 cup granulated sugar6 Tbsp. strawberry jam, divided1/2 cup powdered sugar","Preheat oven to 350°F. Butter an 8 1/2x4 1/2"" loaf pan, then line with parchment paper, leaving a 2"" overhang on 2 sides.
                                                                            Lightly crush herbs with your hands to help release oils, then transfer to a small saucepan. Add 3/4 cup butter and cook over medium heat, swirling pan often, until butter melts, about 5 minutes. Let cool to room temperature, 15–20 minutes.
                                                                            Meanwhile, stir 3/4 cup milk, 1 Tbsp. lemon zest, and 1/4 cup lemon juice in a small bowl. Whisk flour, baking powder, and salt in a medium bowl.
                                                                            Using an electric mixer on medium speed (or a stand mixer fitted with the whisk attachment), beat eggs and granulated sugar in a large bowl until light in color and doubled in size, 4–5 minutes. Discard herbs from butter, then beat butter into egg mixture until well combined. Add half of dry ingredients and beat just until combined. Beat in milk mixture, then add remaining dry ingredients and beat just until combined. Do not overmix.
                                                                            Pour half of batter into prepared pan; smooth top. Top with 3 Tbsp. jam and swirl through batter with a butter knife or chopstick. Pour remaining batter over; smooth top. Repeat swirling process with remaining 3 Tbsp. jam.
                                                                            Bake cake until a tester inserted into the center comes out with moist crumbs attached, 50–60 minutes.
                                                                            Transfer pan to a wire rack and let cool 20 minutes. Remove cake from pan using parchment overhang and let cool completely.
                                                                            Whisk powdered sugar and remaining 1 Tbsp. milk and 1 tsp. lemon zest in a small bowl until smooth. Spoon over top of cake and let drip down sides.
                                     Do Ahead: Cake can be baked 3 days ahead. Store in an airtight container at room temperature, or freeze up to 3 months.",Mother's DayBrunchDessertBakeCakeButterThymeRosemaryHerbMilk/CreamLemonEggJam or JellySpringSoy FreePeanut FreeTree Nut FreeVegetarian
0%,0.0,"Roasting two chickens on one baking sheet is an effortless but strategic way to cook for a crowd. As the fat renders, it bastes the vegetables for a built-in side dish.",recipe,Chicken with Lemon and Spicy Spring Onions,/recipes/food/views/chicken-with-lemon-and-spicy-spring-onions,"1 lemon2 (3 1/2–4-lb.) chickensKosher salt, freshly ground pepper2 large red onions, quartered2 bunches spring onions or 3 bunches scallions, trimmed, divided4 green garlic bulbs, very finely chopped, or 4 garlic cloves, finely grated1/2 cup extra-virgin olive oil1/2 cup (1 stick) unsalted butter6–8 (1""-thick) slices crusty bread1/4 cup parsley leaves with tender stemsCrushed red pepper flakes (for serving)","Preheat oven to 350°F. Very thinly slice 1 lemon; tease out seeds. Place chickens on a rimmed baking sheet; season outsides and insides all over with salt and black pepper. Scatter red onions, three-quarters of spring onions, and half of lemon slices around.
                                                                            Cook green garlic, oil, and butter in a small saucepan over medium heat, swirling occasionally, until butter melts and garlic starts to lightly sizzle; season with salt and black pepper. Pour over chickens, letting some of the mixture drip onto onions and lemon.
                                                                            Roast chickens, tossing onions and lemon and basting chickens with drippings in baking sheet occasionally, until chickens are golden brown all over and an instant-read thermometer inserted into the thickest part of the breast registers 160°F and onions and lemon are softened and starting to brown, 80 minutes–2 hours.
                                                                            Remove baking sheet from oven and transfer chickens to a cutting board, leaving onions and lemon behind. Place bread slices on baking sheet and turn once to coat in chicken fat. Return baking sheet with bread and vegetables to oven and roast until vegetables are starting to sizzle and crisp and bread is toasted, 10–15 minutes.
                                                                            Meanwhile, thinly slice remaining spring onions and toss in a medium bowl with parsley and remaining lemon slices. Season with salt, black pepper, and enough red pepper flakes to achieve your desired level of spiciness.
                                                                            Carve chickens and transfer to a large shallow bowl or platter (or serve right on the cutting board). Pour any remaining juices on baking sheet over chicken and scatter roasted onions and lemon slices around, followed by raw spring onion mixture. Slice each toast into a few pieces and serve alongside.",Bon AppétitDinnerChickenSpringGreen Onion/ScallionGarlicParsleyOnionEntertainingRoastSoy FreePeanut FreeTree Nut Free
0%,0.0,"Whole wheat phyllo dough makes a crispy crust for this lively potato tart with the flavors of mustard greens, lemon thyme, and goat cheese.",recipe,Potato Tart with Mustard Greens and Thyme,/recipes/food/views/potato-tart-with-mustard-greens-and-lemon-thyme,"4 sheets whole wheat phyllo dough1 large Yukon Gold potato, sliced paper thin1/2 cup buttermilkSalt and freshly ground black pepper1 tablespoon canola oil1/2 cup chopped onion2 cups chopped mustard greens2 large eggs3 large egg whites1/2 cup skim milk2 teaspoons lemon thyme leaves2 ounces soft goat cheese (about 4 tablespoons)","Preheat the oven to 375°F. Line a 10-inch tart pan with the whole wheat phyllo dough. Leave a 1/2-inch overhang and trim any excess. Place the tart pan on a baking sheet. In a medium mixing bowl, toss the potato slices with the buttermilk and season with salt and pepper. In a large sauté pan, heat the canola oil over medium heat and add the onions. Cook the onions for 2 minutes over medium-high heat. Add the mustard greens to the pan and cook for 5 minutes or until they are wilted. Season with salt and pepper. Shingle half the potato slices on the bottom of the phyllo-lined tart pan. Sprinkle with half of the mustard greens. Repeat the process with the remaining potatoes and mustard greens. In a medium bowl, whisk the eggs, egg whites, and skim milk for 1 minute or until combined. Add the lemon thyme and season with salt and pepper. Pour the egg mixture over the potatoes. Drop teaspoons of the goat cheese around the tart. Bake the tart for 45 to 60 minutes or until it is just set and the potatoes are cooked. Remove from the oven and let sit for 15 minutes before cutting. Cut the tart into 6 pieces and place on a serving plate.",HarperCollinsTartBreakfastBrunchSpringEasterPotatoEggLeafy GreenMustard GreensThymeSoy FreePeanut FreeTree Nut FreeButtermilkEntertainingVegetarian
100%,4.0,"Whatever fruit you have on hand—pears, berries, figs, grapefruit—will fare beautifully in this sheet cake, which is as good for breakfast as it is dessert.",recipe,Lemon Cake with Fruit,/recipes/food/views/lemon-cake-with-fruit,"1 cup (2 sticks) unsalted butter, room temperature, plus more for pan2 cups all-purpose flour, plus more for pan2 tsp. baking powder1 1/2 tsp. kosher salt1 lemon1 2/3 cups plus 3 Tbsp. granulated sugar3 large eggs1 large egg yolk3 Tbsp. pear, orange, or apple brandy (optional)2 lb. pears or apples, sliced, stone fruit, cut into thick wedges, blueberries, and/or blackberriesPowdered sugar (for serving)","Place a rack in middle of oven and preheat to 350°F. Butter and flour a 13x9"" baking pan. Whisk baking powder, salt, and 2 cups flour in a medium bowl. Finely grate lemon zest into another medium bowl. Slice lemon in half; set aside. Add 1 2/3 cups granulated sugar to zest and work with your fingers until mixture is fragrant and looks like wet sand, about 1 minute.
                                                                            Using an electric mixer on medium speed, beat 1 cup butter in a large bowl until smooth, about 20 seconds. Add sugar mixture, increase speed to medium-high, and beat until very light and fluffy, about 5 minutes. Reduce speed to medium and add eggs one at a time, beating well between additions; mix in egg yolk. Reduce speed to low and gradually add dry ingredients. Beat just until incorporated, then add brandy and beat just until smooth. Fold batter a few times with a rubber spatula; scrape into prepared pan and smooth top. Scatter fruit over (do not press down). Squeeze a reserved lemon half over fruit (save other half for another use) and sprinkle with remaining 3 Tbsp. granulated sugar.
                                                                            Bake cake until sides are golden brown and top is golden, 55–65 minutes. Let cool; cut into squares. Serve dusted with powdered sugar.
                                    Do Ahead                                        Cake can be baked 2 days ahead. Store tightly wrapped at room temperature.",Bon AppétitDessertCakeLemonFruitBrandyPearApplePlumFall
0%,0.0,"Earthy-sweet figs and bright lemon zest and juice give these cupcakes worlds of flavor. If you'd like, take them one step further with a silky cream cheese frosting.",recipe,Lemon and Fig Cupcakes,/recipes/food/views/lemon-and-fig-cupcakes,"For the cupcakes:2 1/2 cups sifted all-purpose flour2 1/2 teaspoons baking powder1/4 teaspoon salt8 tablespoons unsalted butter1 3/4 cups sugar2 large eggs2 1/4 teaspoons pure vanilla extract1 1/4cups whole milk1/2 cup freshly squeezed lemon juice1/2 cup freshly grated lemon zest (from approximately 2 to 3 lemons)1/2 cup fresh or dried figs, slicedFor the cream cheese frosting (optional):4 tablespoons unsalted butter4 cups sifted confectioners’ sugar1/4 teaspoon pure vanilla extract6 ounces cream cheese","For the cupcakes:                                        Preheat the oven to 350˚F. Line two cupcake pans with twelve paper baking cups each. Sift together the flour, baking powder, and salt in a bowl, and set aside.
                                                                            In the bowl of a stand mixer or in a bowl with a handheld electric mixer, cream together the butter and sugar until light and fluffy, approximately 3 to 5 minutes.
                                                                            Add the eggs one at a time, mixing slowly after each addition.
                                                                            Combine the vanilla extract and milk in a large liquid measuring cup.
                                                                            Add one third of the flour mixture to the butter mixture, then gradually add one third of the milk mixture, beating slowly until well incorporated. Add another third of the flour mixture, followed by another third of the milk mixture. Stop to scrape down the bowl as needed. Add the remaining flour mixture, followed by the remaining milk mixture, and beat just until combined.
                                                                            Add the lemon juice and lemon zest, and mix until well combined.
                                                                            Scoop batter into the baking cups so that each is two-thirds full. On top of each cupcake, place one fig slice so that it covers the surface of the batter. Bake for 15 to 18 minutes or until a toothpick inserted into the center of a cupcake comes out clean. Transfer the pans to a wire rack to cool completely. Serve and enjoy!
                                    For the (optional) frosting:                                        In the bowl of a stand mixer or in a bowl with a handheld electric mixer, mix all the ingredients for approximately 3 to 5 minutes, until the frosting is light and airy. Frost each cupcake with a thick layer of the frosting using an offset spatula.",HarperCollinsHarperCollinsCupcakeLemonLemon JuiceFigDessertFallThanksgiving
0%,0.0,"Cooking summer squash low and slow yields sweet, nutty, tender—but not mushy—results. They fold into pasta beautifully, but that’s just one of many ways to use them.",recipe,Slow-Cooked Summer Squash with Lemon and Thyme,/recipes/food/views/slow-cooked-summer-squash-with-lemon-and-thyme,"1 lb. summer squash or zucchini, sliced crosswise 1/4"" thick1/2 head of garlicZest of 1 lemon, removed in wide strips2 sprigs thyme1/2 cup extra-virgin olive oil3/4 tsp. kosher salt1 Tbsp. fresh lemon juice","Place a rack in middle of oven and preheat to 350°F. Toss summer squash, garlic, lemon zest, thyme, oil, and salt in a shallow 2-qt. baking dish to combine.
                                                                            Turn garlic cut side down, then roast vegetables, tossing 2 or 3 times, until golden brown, very tender, and edges and cut sides are crisp, 1 hour and 40 minutes–1 hour and 50 minutes. Let cool slightly, then add lemon juice and toss to coat.",Bon AppétitSideVegetableYellow SquashZucchiniSummerThymeLemonLemon JuiceRoastVegetarianVeganWheat/Gluten-FreeDairy FreeGarlic
100%,4.0,How to pull off a weeknight roast chicken: set it over a bed of peppers laced with thyme and chiles for a two-for-one deal.,recipe,"Roast Chicken with Bell Peppers, Lemon, and Thyme",/recipes/food/views/roast-chicken-with-bell-peppers-lemon-and-thyme,"4 large bell peppers (any color)1 large shallot, thinly sliced1 Fresno chile, thinly sliced crosswise5 sprigs thyme, dividedKosher salt, freshly ground pepper1/4 cup plus 1 Tbsp. extra-virgin olive oil1 (3 1/2–4-lb.) chicken, patted dry1 lemon, halved","Place a rack in middle of oven; preheat to 425°F. Heat a large ovenproof skillet, preferably cast iron, over medium-high. Cook bell peppers in skillet, turning every minute or two, until blistered in several spots, about 5 minutes. (You aren’t trying to cook them, just get some color on them.) Transfer bell peppers to a cutting board and let cool slightly; reserve skillet. Stand a pepper upright and slice off sides, working your way around stem in 3 or 4 cuts. Pull out ribs and seeds; discard along with stems. Repeat with remaining peppers.
                                                                            Return peppers to skillet and add shallot, chile, and 3 thyme sprigs. Season generously with salt and black pepper and drizzle 1/4 cup oil over. Season chicken all over with salt and black pepper and set on top of peppers. Place a lemon half and remaining
2 thyme sprigs in chicken cavity and rub skin all over with remaining 1 Tbsp. oil. Roast in oven until skin is golden brown and crisp all over and an instant-read thermometer inserted into the thickest part of breast registers 160°F, 60–80 minutes. Remove from oven (be careful; handle is hot!) and let rest 15 minutes before transferring chicken to a cutting board and carving.
                                                                            Just before serving, squeeze remaining lemon half over chicken and bell peppers.",Bon AppétitDinnerChickenBell PepperThymeLemonChile PepperWheat/Gluten-FreeOne-Pot Meal
67%,2.5,"If you want to go with the same flavors and basic method but prefer chicken pieces, go forth! Use skin-on, bone-in breasts and legs—total cooking time will be shorter.",recipe,Grilled Lemon-Pepper Chicken,/recipes/food/views/grilled-lemon-pepper-chicken,"1 (3 1/2–4-lb.) chicken, cut in half4 tsp. kosher salt2 tsp. freshly ground black pepper, dividedVegetable oil (for grill)1 1/2 lemons, divided4 Tbsp. unsalted butter1 Tbsp. honey","Sprinkle chicken all over with salt and 1 1/2 tsp. pepper. Let sit at room temperature 1 hour.
                                                                            Meanwhile, prepare a grill for medium heat and brush grate with oil. Thinly slice lemon half into rounds. Heat butter and honey in a small saucepan until butter is melted and foaming, then remove from heat and add lemon slices.
                                                                            Grill chicken, skin side down, until skin is lightly charred and releases from grate without tearing, about 6 minutes. Turn chicken over and lightly brush with lemon butter. Cover grill and continue grilling chicken, brushing with lemon butter every 5 minutes or so, until an instant-read thermometer inserted into the thickest part of breast registers 150°F, 25–28 minutes.
                                                                            Just before chicken is ready, cut remaining lemon into quarters and grill, cut side down, until charred and softened, 6–8 minutes. Transfer chicken and lemons to a cutting board; let rest 10 minutes before carving chicken into pieces.
                                                                            To serve, squeeze grilled lemons over chicken and sprinkle with remaining 1/2 tsp. pepper.",Bon AppétitDinnerGrillGrill/BarbecueSummerChickenLemonLemon JuiceKid-FriendlyWheat/Gluten-FreeSmall Plates
