Again?,Rating,Summary,Tag,Title,URL
100%,4,"The zest of two whole lemons goes into this cake batter, giving it a real punch of citrus flavor, accented by the drippy lemon glaze that gets drizzled overtop.",recipe,East 62nd Street Lemon Cake,/recipes/food/views/east-62nd-street-lemon-cake
0%,0,Bright citrus and fresh-ground pepper put a festive spin on two party staples: cured meat and Marcona almonds.,recipe,Lemon-Pepper Salami Bites,/recipes/food/views/lemon-pepper-salami-bites
85%,3,Fresh herbs infuse this buttery lemon cake with floral flavor that beautifully complements swirls of sweet strawberry jam.,recipe,Herb-Infused Lemon-Strawberry Loaf,/recipes/food/views/herb-infused-lemon-strawberry-loaf
0%,0,"Roasting two chickens on one baking sheet is an effortless but strategic way to cook for a crowd. As the fat renders, it bastes the vegetables for a built-in side dish.",recipe,Chicken with Lemon and Spicy Spring Onions,/recipes/food/views/chicken-with-lemon-and-spicy-spring-onions
0%,0,"Whole wheat phyllo dough makes a crispy crust for this lively potato tart with the flavors of mustard greens, lemon thyme, and goat cheese.",recipe,Potato Tart with Mustard Greens and Thyme,/recipes/food/views/potato-tart-with-mustard-greens-and-lemon-thyme
100%,4,"Whatever fruit you have on hand—pears, berries, figs, grapefruit—will fare beautifully in this sheet cake, which is as good for breakfast as it is dessert.",recipe,Lemon Cake with Fruit,/recipes/food/views/lemon-cake-with-fruit
0%,0,"Earthy-sweet figs and bright lemon zest and juice give these cupcakes worlds of flavor. If you'd like, take them one step further with a silky cream cheese frosting.",recipe,Lemon and Fig Cupcakes,/recipes/food/views/lemon-and-fig-cupcakes
0%,0,"Cooking summer squash low and slow yields sweet, nutty, tender—but not mushy—results. They fold into pasta beautifully, but that’s just one of many ways to use them.",recipe,Slow-Cooked Summer Squash with Lemon and Thyme,/recipes/food/views/slow-cooked-summer-squash-with-lemon-and-thyme
100%,4,How to pull off a weeknight roast chicken: set it over a bed of peppers laced with thyme and chiles for a two-for-one deal.,recipe,"Roast Chicken with Bell Peppers, Lemon, and Thyme",/recipes/food/views/roast-chicken-with-bell-peppers-lemon-and-thyme
67%,2.5,"If you want to go with the same flavors and basic method but prefer chicken pieces, go forth! Use skin-on, bone-in breasts and legs—total cooking time will be shorter.",recipe,Grilled Lemon-Pepper Chicken,/recipes/food/views/grilled-lemon-pepper-chicken
100%,4,Use this master formula as your guide—but feel free to get creative with the add-ins. A dried chile? Sure! A few sprigs of herbs from your windowsill? Why not?,recipe,Slow-Cooked Eggplant with Lemon and Fennel Seeds,/recipes/food/views/slow-cooked-eggplant-with-lemon-and-fennel-seeds
0%,0,This is a unique and slightly peculiar British cake; you'd be hard pressed to find another baked good with the same psychedelic squares and level of geometric satisfaction.,recipe,Lemon-Lime Battenberg,/recipes/food/views/lemon-and-lime-battenberg
,,"Juicing a lemon may not be as easy as it sounds. 50 people attempt to juice, squeeze, squash and smoosh a lemon. Do you have a favorite technique?
Like the knives you see in this video? Grab your own set at https://www.bedbathandbeyond.com/store/brand/epicurious/4589/?ta=typeahead&ml=v2",video,50 People Try to Juice a Lemon,http://video.epicurious.com/watch/50-person-prep-challenge-50-people-try-to-juice-a-lemon
100%,4,"In summer, raw corn kernels add crunch and sweetness to any salad and can be enjoyed freshly sliced, right off the cob.",recipe,Summer Salad with Lemon Dijon Dressing,/recipes/food/views/summer-salad-with-lemon-dijon-dressing
0%,0,Bring all your ingredients out to the grill on a baking sheet for easy cleanup later.,recipe,"Grilled Pork Chops with Plums, Halloumi, and Lemon",/recipes/food/views/grilled-pork-chops-with-plums-halloumi-and-lemon
86%,3.5,"Humble white vinegar does double duty here, tenderizing chicken thighs while giving them a tart flavor accentuated by a super-easy charred lemon–garlic sauce.",recipe,Lemon Chicken Thighs,/recipes/food/views/lemon-chicken-thighs
,,"Sweet, sour, and utterly irresistible.",gallery,38 Zesty Lemon Desserts,/recipes-menus/lemon-desserts-pie-tart-cake-bars-popsicles-recipes-gallery
,,From classic to lemon to pumpkin-ginger.,gallery,43 Ways to Make Cheesecake,/recipes-menus/12-excuses-to-bake-a-cheesecake-gallery
0%,0,"The cheesecake has a little lemon in the filling, giving it a lovely hint of tartness. When topped with the velvety sweet curd, the flavors truly sing.",recipe,Lemon Cheesecake,/recipes/food/views/lemon-ricotta-cheesecake-donna-hay
,,"A 3-quart saucepan will always be by your side in the kitchen. It will heat your emergency canned soup in minutes, and simmer your tomato sauce for hours. And you'll own it for a lifetime.",article,The Best Saucepan Will Help You Cook Literally Everything—From Regular Morning Oatmeal to Fancy Lemon Curd,/expert-advice/the-best-saucepans-for-cooking-literally-everything-article
100%,3,"Sea bream, common in the Mediterranean, has lean flesh with a light, delicate flavor. If you can’t find it, porgy or snapper are suitable subs.",recipe,Sea Bream Crudo with Lemon and Olives,/recipes/food/views/sea-bream-crudo-with-lemon-and-olives
,,Squeeze out every last drop with these ten tips!,article,How to Juice a Lemon and Other Citrus,/expert-advice/trick-to-juice-lemons-article
64%,3,There may be more sauce than you need to serve with the chicken. Use the leftovers on mashed potatoes or simply freeze for another time.,recipe,Chicken Fricassée with Lemon Mustard Sauce,/recipes/food/views/chicken-fricassee-with-lemon-mustard-sauce-109106
0%,0,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings.",recipe,Smashed Cucumber Salad with Lemon and Celery Salt,/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt
100%,4,"Fresh grapefruit, lime, and lemon juices balance the sweetness of this bubbly punch.",recipe,Champagne Punch with Brandy and Citrus,/recipes/food/views/champagne-punch-241174
,,Make this meatless menu your new holiday tradition.,menu,A Vegetarian Easter Feast,/holidays-events/best-vegetarian-easter-recipes-menu
