Author,Number in Series,Number of Ratings,Rank,Rating,Score,Series,Title,Votes
Margaret Atwood,  ,"1,102,318",1,4.09,"30,733",The Handmaid's Tale,The Handmaid's Tale,314
Suzanne Collins,1,"5,742,147",2,4.33,"28,553",The Hunger Games,The Hunger Games,292
Mary Wollstonecraft Shelley,,"1,023,439",3,3.78,"21,909",Frankenstein,Frankenstein,224
Madeleine L'Engle,1,"903,270",4,4.01,"18,720",Time Quintet,A Wrinkle in Time,196
Ursula K. Le Guin,4,"98,786",5,4.06,"17,920",Hainish Cycle,The Left Hand of Darkness,184
Veronica Roth,1,"2,602,763",6,4.21,"13,326",Divergent,Divergent,138
Suzanne Collins,2,"2,200,701",7,4.29,"12,749",The Hunger Games,Catching Fire,133
Lois Lowry,1,"1,535,105",8,4.12,"12,399",The Giver,The Giver,129
Octavia E. Butler,,"72,335",9,4.23,"11,070",Kindred,Kindred,116
Ursula K. Le Guin,6,"71,641",10,4.21,"10,731",Hainish Cycle,The Dispossessed,112
Margaret Atwood,1,"197,786",11,4.01,"10,117",MaddAddam,Oryx and Crake,107
Suzanne Collins,3,"2,071,958",12,4.03,"9,807",The Hunger Games,Mockingjay,104
Audrey Niffenegger,   ,"1,446,731",13,3.96,"9,193",The Time Traveler's Wife,The Time Traveler's Wife,98
Connie Willis,1,"43,252",14,4.03,"8,935",Oxford Time Travel,Doomsday Book,96
Ursula K. Le Guin,   ,"43,989",15,4.11,"7,775",The Lathe of Heaven,The Lathe of Heaven,84
Ann Leckie,1,"66,205",16,3.98,"7,336",Imperial Radch,Ancillary Justice,81
Lois McMaster Bujold,1,"25,879",17,4.11,"7,017",Vorkosigan Saga,Shards of Honour ,75
Connie Willis,2,"29,641",18,4.13,"6,890",Oxford Time Travel,To Say Nothing of the Dog,74
Mary Doria Russell,1,"52,739",19,4.17,"6,873",The Sparrow,The Sparrow,72
Anne McCaffrey,1,"116,157",20,4.10,"6,802",Dragonriders of Pern,Dragonflight,74
Octavia E. Butler,1,"42,233",21,4.16,"6,653",Earthseed,Parable of the Sower,71
